Brazil 	23.8 	1.9 	11.2 	8.9 	3.1 	3.4 	2.7 	3.8 	6.0 	9.3 	19.2 	6.7 	10,868
Canada 	15.8 	6.9 	7.5 	8.8 	15.0 	4.1 	0.1 	2.6 	8.5 	13.0 	14.6 	3.1 	27,357
China 	29.0 	1.7 	19.2 	4.9 	1.3 	1.0 	3.2 	11.2 	8.8 	8.2 	9.0 	2.5 	235,597
Colombia 	19.0 	2.6 	13.5 	8.9 	2.3 	5.5 	7.0 	3.3 	9.7 	11.7 	13.0 	3.5 	6,543
France 	24.9 	0.9 	11.6 	6.6 	1.5 	6.9 	1.4 	5.7 	5.2 	9.9 	19.5 	5.9 	8,297
Germany 	26.0 	1.6 	7.9 	4.2 	2.3 	6.9 	0.9 	3.1 	8.2 	14.1 	17.9 	6.9 	9,819
Hong Kong 	27.4 	1.0 	6.5 	10.3 	3.4 	3.0 	2.5 	5.7 	6.0 	15.0 	14.6 	4.6 	8,026
India 	13.7 	0.5 	35.6 	1.7 	4.7 	0.5 	0.1 	23.1 	11.2 	3.5 	4.6 	0.8 	96,754
Indonesia 	29.6 	2.0 	15.6 	9.5 	2.3 	1.7 	1.2 	5.1 	5.3 	9.8 	12.6 	5.3 	7,670
Iran 	4.7 	1.3 	55.2 	5.4 	2.3 	1.0 	1.6 	9.6 	10.5 	3.6 	4.2 	0.6 	8,744
Japan 	17.4 	2.4 	3.7 	8.1 	2.8 	5.8 	14.6 	2.2 	4.8 	11.5 	22.1 	4.6 	19,568
Malaysia 	18.2 	2.2 	28.4 	4.3 	2.9 	1.7 	0.1 	8.0 	11.8 	9.8 	10.3 	2.3 	6,791
Mexico 	21.5 	3.3 	17.0 	8.9 	2.9 	3.4 	2.7 	4.0 	6.5 	10.5 	14.0 	5.3 	14,199
Nepal 	19.0 	1.0 	20.3 	1.5 	9.4 	1.1 	0.1 	11.9 	19.6 	5.5 	7.6 	3.0 	8,920
Nigeria 	15.5 	1.7 	24.1 	2.3 	12.5 	2.3 	0.2 	7.4 	13.0 	7.9 	9.0 	4.1 	7,316
Russia 	28.2 	1.9 	6.8 	9.4 	2.5 	5.0 	1.9 	7.4 	11.5 	11.3 	11.4 	2.7 	4,898
Saudi Arabia 	17.1 	2.8 	21.1 	2.1 	5.6 	1.5 	27.2 	7.4 	4.0 	2.7 	5.8 	2.7 	44,566
South Korea 	16.4 	3.1 	10.8 	13.4 	5.0 	4.1 	4.5 	4.9 	7.0 	12.4 	15.1 	3.3 	70,627
Spain 	22.1 	2.1 	13.1 	9.3 	2.1 	11.2 	2.2 	3.7 	4.8 	8.5 	16.3 	4.6 	5,033
Taiwan 	20.9 	3.8 	16.6 	12.9 	3.6 	2.1 	3.7 	6.7 	10.6 	7.1 	9.9 	2.1 	21,867
Thailand 	21.4 	2.2 	17.3 	10.1 	4.1 	1.4 	3.7 	7.0 	9.0 	7.0 	13.9 	2.9 	7,314
Turkey 	15.1 	3.7 	25.1 	5.7 	0.7 	2.7 	3.5 	9.6 	8.6 	13.5 	9.8 	2.0 	11,278
United Kingdom 	17.7 	3.2 	4.5 	8.6 	4.0 	6.6 	0.1 	2.9 	7.3 	18.1 	20.9 	6.1 	9,467
Venezuela 	29.3 	2.2 	14.8 	8.4 	2.7 	2.1 	10.2 	3.4 	4.8 	6.9 	11.2 	4.0 	6,158
Vietnam 	38.1 	1.1 	9.9 	3.5 	4.3 	1.2 	4.6 	7.5 	7.3 	5.1 	7.2 	10.2 	16,098
